212.48.192.162  
192.167.121.14|—опрель 26   —р   22:3|Mozilla/4.0 (compatible; MSIE 5.0; Windows NT; DigExt; libero)
195.131.0.202|—ымай 12   ѕт   1:28|Mozilla/4.0 (compatible; MSIE 5.0; Windows 98; DigExt)
212.46.201.110|—ымай 14   ¬с   14:4|Mozilla/4.0 (compatible; MSIE 5.0; Windows 95; DigExt)
195.5.158.53|—ымай 16   ¬т   13:27|Mozilla/4.0 (compatible; MSIE 5.0; Windows 98; DigExt)
195.34.32.11|“еплюнь 11   ¬с   2:25|Mozilla/4.05 [en] (Win95; I) WebWasher 2.0.1
195.122.226.47|јвгрусть 11   ѕт   19:42|Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)
195.248.174.241|јвгрусть 14   ѕн   8:42|Mozilla/4.0 (compatible; MSIE 5.0; Windows 98; DigExt)
|—вист€брь 18   ѕн   2:46|Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)
|—вист€брь 25   ѕн   9:47|Mozilla/4.0 (compatible; MSIE 4.0; Windows 95)
|ћокт€брь 19   „т   23:50|Mozilla/4.75 [en] (Win98; U) WebWasher 2.0.1
|√но€брь 3   ѕт   21:11|Mozilla/4.0 (compatible; MSIE 5.0; Windows 95; DigExt)
|√но€брь 20   ѕн   21:34|Mozilla/4.0 (compatible; MSIE 4.01; Windows NT; GDMS99A_OL98_1)
|ѕь€нварь 23   ¬т   15:36|Mozilla/4.0 (compatible; MSIE 5.5; Windows 98; Win 9x 4.90)
|ѕь€нварь 29   ѕн   19:26|Mozilla/4.0 (compatible; MSIE 5.0; Windows 98; DigExt)
|ѕь€нварь 31   —р   8:6|Googlebot/2.1 (+http://www.googlebot.com/bot.html)
|‘игвраль 5   ѕн   5:0|Mozilla/4.0 (compatible; MSIE 5.0; Windows 98; DigExt)
|‘игвраль 19   ѕн   17:13|Mozilla/4.0 (compatible; MSIE 5.5; Windows 98; Win 9x 4.90)
|—опрель 14   —б   15:14|Googlebot/2.1 (+http://www.googlebot.com/bot.html)
|—опрель 21   —б   15:51|Mozilla/4.0 (compatible; MSIE 5.5; Windows 98; Win 9x 4.90)
|—ымай 4   ѕт   4:17|Mozilla/4.0 (compatible; MSIE 5.01; Windows 95; QXW0332l)
|—ымай 9   —р   5:40|Googlebot/2.1 (+http://www.googlebot.com/bot.html)
